sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
8.252041444560504,5.471585757217792,2.6627598632684117,4.144711325024487,0
8.172557769871052,6.208858665486785,5.241168672151378,4.646754900220444,0
6.162058424481209,5.460570698181763,4.733671006408368,3.421198638492935,0
9.058611051367201,6.577006066902827,3.8549046939213287,1.7800897264427498,0
8.776734683654315,8.269792444797085,6.559256456034003,2.280746470134242,0
7.387551897024393,7.9651731388168,4.8187435620105425,3.2217687394875334,0
4.893595961414743,8.357045655621386,5.509295225795791,4.093279561140954,0
7.9803126390980506,5.5693805414931745,4.954985305831775,4.094096026542788,0
7.53581683643694,6.791548149666102,4.268305684436802,2.879595601696581,0
9.85221715579743,5.743661357549022,6.322512222571959,2.1156904757650032,0
7.507674205177472,5.968898959126809,5.175718507432698,4.422653615187481,0
7.884975298785618,7.020624853084222,2.943122569200055,3.938588701310394,0
6.960779160060245,4.844770083013968,4.184148813053426,4.744708252860398,0
6.853030497123594,6.224227752762184,4.718464278992439,0.752113194298674,0
9.180516843643321,5.901097494426859,4.9253665287993105,3.7453403780232333,0
7.728026125317658,6.56085770638067,4.26142743175823,2.9922638142532,0
10.035625500078101,8.598803594285615,4.428917252952342,3.6288605366559175,0
8.275875278239061,5.5158899411604105,5.05087016801599,2.119956292516106,0
9.184661064681995,6.710747469550109,3.4401562688760423,3.6268445289286464,0
8.662236696759763,7.056251829604841,6.246703381978886,3.759362490241981,0
8.855762695485334,7.862862879671919,5.272749534486838,2.258213179086596,0
6.225199587715096,6.497249173928742,6.6011982761841,3.0018847007427825,0
7.923139151970817,4.803107029571743,4.550723022998643,2.550072147132444,0
9.380563875501231,6.38997515676189,4.4362650254479,3.5081994480406187,0
7.431800791661196,7.612254436352659,4.93364142204677,4.084781212616605,0
7.6416055479726985,5.211529149971083,6.861849630512101,3.5708366414272406,0
7.767613165195453,7.4982712882766815,5.787687324533373,3.673328047756288,0
7.924487159381396,6.663014678887578,4.400378418959175,3.7344855380827533,0
7.225035030629883,7.126676868457111,4.2181681663341815,4.349619306267785,0
8.690707415317238,6.409630245353636,4.787546343514094,3.8211394974321307,0
6.886302513425326,6.2319048734448454,5.174092174369051,3.0806932099338864,0
9.488346153014273,6.326744049194398,5.54148193406547,4.334384465059092,0
9.017551718720913,6.593017587041623,6.4630804951725835,2.836225448801977,0
9.006526099028186,6.919972253844544,4.748800313021849,1.9195789961101803,0
9.138785580571435,6.752861342413182,4.544792713255621,3.552781503343254,0
9.159077815059796,6.164731070019595,3.446110939559782,5.532084258201069,0
6.260646648758714,5.005107268858084,4.003221655332623,2.47608858176428,0
7.4259708115185585,5.331382213340507,4.390600541029595,3.5010246456130742,0
7.260329605102182,5.107253013419266,3.669593703682498,2.6050059972700796,0
9.10137239013799,5.691715125430868,5.493892843662058,2.9184523574598593,0
7.527240198648068,7.421906213960313,3.947864874991488,3.3839820435615593,0
6.913907486752635,6.576595843743025,3.6146509181660464,2.382251323153464,0
7.478086606498685,6.0393949948366075,5.29542450632099,3.9285369072410967,0
7.580163592434971,6.022922514754408,3.357011714558043,3.6567483428258174,0
8.202802450147463,5.533259262794288,3.4640129699258013,2.859674442565692,0
8.346732885573758,4.510720907344533,6.13936777745641,4.013974418104084,0
7.913285839451143,7.2684658969369496,5.711052103583757,3.946431891935853,0
6.575495932358225,7.402225663231071,3.9892549049500343,2.1155744148925764,0
8.173909560839437,4.779501838417305,4.404247995554934,2.7114302352073802,0
7.898831014057616,9.470706049576446,5.042639327593159,2.64777209273804,0
12.230644158503965,5.956406784034785,7.233354269394869,4.921844233096113,1
7.768284980016726,6.722040645823542,7.9342681628473235,5.080431309959563,1
9.614082955045497,6.961933510815081,9.294794160459421,4.541478860206238,1
8.655762292688832,6.156281218041958,6.343881189413745,4.835405057915501,1
10.33440573042339,5.335622142461793,8.93561145223237,4.6897749992420295,1
9.6039168626491,4.419420567288703,6.4485876482572815,3.2065981506046297,1
9.026284235399425,6.566274855402199,7.405837237917418,5.00030907913645,1
8.017978204543521,4.502467190958576,4.746408352194948,4.477257178123184,1
10.876088943633514,5.579021338598,8.344751307538694,5.3528461945128125,1
9.756387220701567,6.52655750478616,6.344218927588686,4.666367298998945,1
8.612462653130791,5.117646296758756,7.342927893247957,4.472996046150074,1
